,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ECMWF-SEAS5.1,lead3,0.09812182218833082,0.06301489884839065,-0.05156766637212896,-0.08253681161403145,-0.02801511127371035,0.006497388885590863,-0.03600625243601642,-0.08081693458170072,0.12146252506231199,-0.07373042838179113,0.18754501455899186,0.060850488815602496
ECMWF-SEAS5.1,lead2,0.03832541495365265,0.0690436269582642,-0.11553831772560685,-0.08152585029867886,0.04348285114852169,0.13927593973575048,0.01050286371452379,0.04043741068835721,0.0706920450756346,-0.049655746038342045,0.24737041591446568,0.07616989108805633
ECMWF-SEAS5.1,lead1,0.1505251549810932,0.11300381290849865,-0.23180345816604098,-0.03662774015809846,0.10387699342685837,0.0395843679725198,0.10146873959243301,-0.017013473877179216,0.08500896363957522,0.04333155566865583,0.21218645577103554,0.04530590162256584
Météo France-System 8,lead3,0.03470162078122677,-0.04691882463026888,-0.10408917378795704,0.006765231078952803,-0.07438048848818989,0.013623456465715379,0.07243335536277906,-0.002710840326901864,0.04802274412618659,0.10080806404426008,0.07384297731826649,0.029009620723121736
Météo France-System 8,lead2,-0.0031528585396409245,0.05640915493714144,-0.15707012980931115,-0.03302221952614035,0.052909041454365514,0.06188417648995429,0.11198153020756894,0.046666754406628985,0.07132617294915743,0.04458521921065969,0.188931134482378,0.08150423147345998
Météo France-System 8,lead1,0.05201622796077147,-0.007363802405599087,-0.13879330196643117,-0.01906425198652016,0.035864644141210524,0.007965576850273395,-0.030288548825617,-0.04411387411190426,0.007027974845955767,0.12005196232613229,0.09287106092297827,-0.11849885543409201
Met Office-GloSea6.2,lead3,0.03337456619834828,0.1810587283150213,0.040028090668084486,-0.026626473962522323,0.0542971554984395,-0.019198671044176784,0.02021676981859014,-0.004917496594651171,0.06895364196251562,0.03523381915739833,0.23280595630378023,0.0023623686909508036
Met Office-GloSea6.2,lead2,-0.004064843988095894,0.14896814753724513,-0.09475665810005161,-0.10413385262377785,-0.007662406926169078,0.07059901994291595,-0.013315590770884745,0.059187839802342115,0.06884982135939656,-0.08492140920838041,0.09205973160805746,-0.0005598037806984591
Met Office-GloSea6.2,lead1,0.09909321548505498,0.04703761010163139,-0.15322544443919567,0.026246425809296307,0.007787842964990198,-0.0031072937945037194,-0.04579264415860069,-0.07930173423354221,0.10132850214189541,0.09710640894939246,0.14904627909528398,0.02670163715124157
DWD-GCFS2.1,lead3,0.036122382608707905,0.10140525690255016,-0.055514973289407354,0.006575261013055949,-0.051264252013630766,0.02566985951649708,-0.1933146851612105,-0.05978856348204712,0.11298346609430965,-0.06626246019012834,0.11782164173507985,-0.015467780637187728
DWD-GCFS2.1,lead2,0.1827375227193872,-0.001041788619619687,-0.043674160189837774,-0.09751762434251394,0.05486799091582997,-0.06783684060089916,-0.19955414578215208,-0.03439204706677418,0.059830287357249705,-0.03266702686125155,-0.005119671873814786,-0.09807631399741731
DWD-GCFS2.1,lead1,0.05720374389684641,0.05717380987270771,-0.08304116743035023,-0.08231713967746362,0.06207245828241301,-0.019550227536647254,-0.03845822590414748,-0.03164584466691078,0.14413534374834466,-0.07913751916372788,0.01476574795241751,-0.07153043708368041
CMCC-SPSv3.5,lead3,0.05243453009250316,0.22293736659115487,-0.040410404881755735,0.07353319466376758,0.05579569744257087,0.09657280380181772,-0.01229550593934423,0.07138345011468776,0.0722699202959346,0.02722840714556852,0.13978623087909997,-0.010434769220557463
CMCC-SPSv3.5,lead2,0.061668449942582346,0.09133737757323983,-0.07923106497437817,0.00321690198172428,0.11653608505614617,0.11759630818344531,0.11551778781775343,0.08485249170755506,0.00980476109125759,0.014856477920875277,0.1860552741932004,0.032728934437945535
CMCC-SPSv3.5,lead1,0.05244089693680897,0.10349172278526034,-0.1049671583031276,0.053294456015533474,0.08729680032915334,0.05335489332633306,0.09211011161700745,0.05697086728222425,0.13535811784652826,0.09415381668825798,0.08172970519119808,0.04327449430430654
NCEP-CFSv2,lead3,0.022503747878110734,0.02007544820531349,-0.20159156138233628,-0.04425720981837112,-0.04003301232199998,0.08892160264591233,-0.0007275792574822203,-0.02300661291032669,0.0034711993739325185,0.06311159668070807,0.018221185967069172,0.06086313387124036
NCEP-CFSv2,lead2,0.025162939047544772,0.09593745497376686,-0.08958378147272208,-0.05847157393774045,-0.06778396107280465,0.024670907168827052,0.0020776909742400928,0.04330652926008376,0.11425333619765447,0.043167453163431235,0.15758103891810893,-0.07201703020208973
NCEP-CFSv2,lead1,0.09949541121900968,0.07161959037867226,-0.03618402875614624,-0.13248965021373438,0.0775613764454554,0.05416778159650213,0.0295993438429056,-0.038167187858599086,0.022628019715816,-0.006424878950355761,0.1396308488705004,0.03258268708144454
JMA-CPS3,lead3,0.029153222455564877,0.13742557431352784,-0.12469324534943248,-0.14727397508159637,-0.14323324601295614,-0.018414710563832367,-0.05139636652065924,-0.009725292382975589,-0.08709208115481405,-0.02619767699712199,-0.18683967662030054,0.08502789731811072
JMA-CPS3,lead2,-0.08634181836363036,-0.07189739780356853,-0.11775788870246105,-0.07191294469333426,-0.11918602802904966,0.03330991021660238,0.004893968613253707,-0.2254515224460112,-0.11038532865113665,-0.13637310765345592,0.1296853634917165,-0.06531226960250425
JMA-CPS3,lead1,0.10269079111218297,-0.251087262740025,-0.20403147171975503,-0.12851330132008967,-0.0682895083813189,-0.21196727684041586,-0.044786819937110034,0.01685316756511998,0.05538963624411936,-0.19705467805120094,-0.02248830940447506,-0.10066901510796876
ECCC-GEM5-NEMO,lead3,-0.12772535467569748,0.12994891948509296,-0.2634913734618133,-0.1424378532950635,0.0302532086173483,-0.031350903626323215,-0.21594623361905857,-0.13212026615231678,-0.03422704390561435,-0.13742118709209913,0.09116724763910779,-0.10668275685687698
ECCC-GEM5-NEMO,lead2,-0.00033508947965299885,0.082440336211366,-0.10275183600338497,-0.15565815436840708,-0.07643179451622718,-0.10024677524224368,-0.09724164514686497,-0.14902541505103037,-0.017036594798258226,-0.18241787504409343,0.03183519194770386,-0.0039964051172159554
ECCC-GEM5-NEMO,lead1,0.13416860285583349,-0.2116941081806875,-0.1713281671765181,-0.023734014685966445,0.10001163122828521,0.03601683531851944,0.019498637257208136,-0.03550744189269603,-0.069958219817396,-0.030561540977673586,0.09091173210012306,0.015651580571290076
